offense_id,category,date,time,neighborhood,npu,x,y
153411420,LARCENY-NON VEHICLE,12/7/2015,11:00:00,Edgewood,O,-84.34619,33.75674
153411431,AUTO THEFT,12/7/2015,11:35:00,Downtown,M,-84.39199,33.7485
153411447,LARCENY-NON VEHICLE,12/1/2015,10:20:00,Old Fourth Ward,M,-84.37656,33.76309
153411481,BURGLARY-RESIDENCE,12/7/2015,11:45:00,NULL,C,-84.42014,33.83851
153411615,LARCENY-FROM VEHICLE,12/7/2015,12:00:00,Heritage Valley,P,-84.50397,33.70488
153411679,LARCENY-NON VEHICLE,12/7/2015,13:08:00,Lenox,B,-84.36426,33.84892
153411685,LARCENY-FROM VEHICLE,12/7/2015,13:00:00,Riverside,D,-84.46738,33.81486
153411691,LARCENY-NON VEHICLE,12/7/2015,13:10:00,Harland Terrace,I,-84.4857,33.75177
153411737,BURGLARY-RESIDENCE,12/7/2015,9:00:00,Lakewood,Z,-84.37407,33.69654
153411800,LARCENY-NON VEHICLE,12/1/2015,22:18:00,Glenrose Heights,Z,-84.39186,33.66445
153411823,LARCENY-NON VEHICLE,12/7/2015,14:00:00,Edgewood,O,-84.34619,33.75674
